    aerate; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 6
    argentite; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 286
    arginine; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 294
    aria; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 295
    arietta; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 302
    ariette; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 309
    arraign; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 316
    arraigning; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 326
    arrange; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 333
    arranger; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 341
    arranging; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 350
    arrant; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 356
    arrear; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 362
    arrearage; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 371
    artier; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 377
    atria; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 382
    attainer; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 390
    attar; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 395
    attire; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 401
    attiring; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 409
    attrite; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 416
    eager; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 421
    eagerer; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 428
    eagre; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 433
    earing; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 439
    earn; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 440
    earner; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 446
    earning; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 453
    earring; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 460
    eater; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 465
    eerie; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 470
    eerier; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 476
    eger; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 477
    eggar; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 482
    egger; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 487
    egret; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 492
    engager; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 499
    engineer; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 507
    engineering; Length: 11; Length score: 11; Bonus score: 0; Cumulative score: 518
    engirt; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 524
    engrain; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 531
    engraining; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 541
    enrage; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 547
    enraging; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 555
    enter; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 560
    entera; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 566
    enterer; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 573
    entering; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 581
    entertain; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 590
    entertainer; Length: 11; Length score: 11; Bonus score: 0; Cumulative score: 601
    entertaining; Length: 12; Length score: 12; Bonus score: 7; Cumulative score: 620
    entire; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 626
    entrain; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 633
    entrainer; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 642
    entraining; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 659
    entrant; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 666
    entreat; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 673
    entreating; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 690
    entree; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 696
    ergate; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 702
    erne; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 703
    errant; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 709
    errata; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 715
    erring; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 721
    etagere; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 728
    eterne; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 734
    gager; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 739
    gagger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 745
    gainer; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 751
    gaiter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 757
    ganger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 763
    gangrene; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 771
    gangrening; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 781
    garage; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 787
    garaging; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 795
    garget; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 801
    garner; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 807
    garnering; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 816
    garnet; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 822
    garni; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 827
    garnierite; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 844
    garret; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 850
    garring; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 857
    garter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 863
    gartering; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 879
    gear; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 880
    gearing; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 887
    genera; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 893
    generate; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 901
    generating; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 918
    genre; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 923
    gerent; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 929
    getter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 935
    gettering; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 944
    ginger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 950
    gingering; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 959
    ginner; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 965
    ginnier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 972
    girn; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 973
    girning; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 980
    girt; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 981
    girting; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 988
    gittern; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 995
    gnar; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 996
    gnarr; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1001
    gnarring; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1009
    gnattier; Length: 8; Length score: 8; Bonus score: 7; Cumulative score: 1024
    grain; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1029
    grainer; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1036
    grainier; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1044
    graining; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1052
    gran; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1053
    grana; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1058
    grange; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1064
    granger; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1071
    granita; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1078
    granite; Length: 7; Length score: 7; Bonus score: 7; Cumulative score: 1092
    grannie; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1099
    grant; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1104
    grantee; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1111
    granter; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1118
    granting; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1126
    grat; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1127
    grate; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1132
    grater; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1138
    gratin; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1144
    gratine; Length: 7; Length score: 7; Bonus score: 7; Cumulative score: 1158
    gratinee; Length: 8; Length score: 8; Bonus score: 7; Cumulative score: 1173
    gratineeing; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 1191
    grating; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1198
    great; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1203
    greaten; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1210
    greatening; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 1227
    greater; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1234
    gree; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1235
    greegree; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1243
    greeing; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1250
    green; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1255
    greener; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1262
    greengage; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1271
    greenie; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1278
    greenier; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1286
    greening; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1294
    greet; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1299
    greeter; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1306
    greeting; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1314
    gregarine; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1323
    greige; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1329
    grig; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1330
    grigri; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1336
    grin; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1337
    grinner; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1344
    grinning; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1352
    grit; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1353
    grittier; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1361
    gritting; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1369
    igniter; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1376
    inaner; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1382
    inerrant; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1390
    inert; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1395
    inertia; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1402
    inertiae; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1410
    ingrain; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1417
    ingraining; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 1427
    ingrate; Length: 7; Length score: 7; Bonus score: 7; Cumulative score: 1441
    ingratiate; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 1458
    ingratiating; Length: 12; Length score: 12; Bonus score: 0; Cumulative score: 1470
    inner; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1475
    integer; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1482
    integrate; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 1498
    integrating; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 1516
    intenerate; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 1526
    intenerating; Length: 12; Length score: 12; Bonus score: 7; Cumulative score: 1545
    inter; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1550
    interage; Length: 8; Length score: 8; Bonus score: 7; Cumulative score: 1565
    intergang; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 1581
    intern; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1587
    interne; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1594
    internee; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1602
    interning; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1611
    interregna; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 1628
    interring; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1637
    intertie; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1645
    intrant; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1652
    intreat; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1659
    intreating; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 1676
    intrigant; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1685
    irate; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1690
    irater; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1696
    iring; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1701
    irrigate; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1709
    irrigating; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 1719
    irritant; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1727
    irritate; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1735
    irritating; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 1745
    iterant; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1752
    iterate; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1759
    iterating; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 1775
    itinerant; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1784
    itinerate; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1793
    itinerating; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 1811
    nagger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1817
    naggier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1824
    naira; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1829
    narine; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1835
    narrate; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1842
    narrater; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 1850
    narrating; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1859
    natter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1865
    nattering; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 1881
    nattier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1888
    near; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1889
    nearer; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1895
    nearing; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1902
    neater; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1908
    negater; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1915
    netter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1921
    nettier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1928
    nigger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1934
    niter; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1939
    niterie; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1946
    nitrate; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1953
    nitrating; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 1962
    nitre; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1967
    nitrite; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1974
    nittier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 1981
    raga; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1982
    rage; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 1983
    ragee; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 1988
    raggee; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 1994
    ragging; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2001
    ragi; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2002
    raging; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2008
    ragtag; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2014
    raia; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2015
    rain; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2016
    rainier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2023
    raining; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2030
    ranee; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2035
    rang; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2036
    range; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2041
    ranger; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2047
    rangier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2054
    ranging; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2061
    rani; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2062
    rant; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2063
    ranter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2069
    ranting; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2076
    rare; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2077
    rarer; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2082
    raring; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2088
    ratan; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2093
    ratatat; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2100
    rate; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2101
    rater; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2106
    ratine; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2112
    rating; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2118
    ratite; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2124
    rattan; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2130
    ratteen; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2137
    ratten; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2143
    rattener; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2151
    rattening; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 2167
    ratter; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2173
    rattier; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2180
    ratting; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2187
    reagent; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2194
    reaggregate; Length: 11; Length score: 11; Bonus score: 0; Cumulative score: 2205
    reaggregating; Length: 13; Length score: 13; Bonus score: 7; Cumulative score: 2225
    reagin; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2231
    rear; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2232
    rearer; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2238
    rearing; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2245
    rearrange; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2254
    rearranging; Length: 11; Length score: 11; Bonus score: 0; Cumulative score: 2265
    reata; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2270
    reattain; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2278
    reattaining; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 2296
    reearn; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2302
    reearning; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2311
    reengage; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2319
    reengaging; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2329
    reengineer; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2339
    reengineering; Length: 13; Length score: 13; Bonus score: 0; Cumulative score: 2352
    reenter; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2359
    reentering; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2369
    reentrant; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2378
    regain; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2384
    regainer; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2392
    regaining; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2401
    regatta; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2408
    regear; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2414
    regearing; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2423
    regenerate; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2433
    regenerating; Length: 12; Length score: 12; Bonus score: 7; Cumulative score: 2452
    regent; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2458
    reggae; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2464
    regina; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2470
    reginae; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2477
    regna; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2482
    regnant; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2489
    regrant; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2496
    regranting; Length: 10; Length score: 10; Bonus score: 7; Cumulative score: 2513
    regrate; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2520
    regrating; Length: 9; Length score: 9; Bonus score: 7; Cumulative score: 2536
    regreen; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2543
    regreening; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2553
    regreet; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2560
    regreeting; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2570
    regret; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2576
    regretter; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2585
    regretting; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2595
    reign; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2600
    reigning; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2608
    reignite; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2616
    reigniting; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2626
    rein; Length: 4; Length score: 1; Bonus score: 0; Cumulative score: 2627
    reining; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2634
    reinitiate; Length: 10; Length score: 10; Bonus score: 0; Cumulative score: 2644
    reinitiating; Length: 12; Length score: 12; Bonus score: 7; Cumulative score: 2663
    reintegrate; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 2681
    reintegrating; Length: 13; Length score: 13; Bonus score: 7; Cumulative score: 2701
    reinter; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2708
    reinterring; Length: 11; Length score: 11; Bonus score: 0; Cumulative score: 2719
    reiterate; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2728
    reiterating; Length: 11; Length score: 11; Bonus score: 7; Cumulative score: 2746
    renege; Length: 6; Length score: 6; Bonus score: 0; Cumulative score: 2752
    reneger; Length: 7; Length score: 7; Bonus score: 0; Cumulative score: 2759
    reneging; Length: 8; Length score: 8; Bonus score: 0; Cumulative score: 2767
    renig; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2772
    renigging; Length: 9; Length score: 9; Bonus score: 0; Cumulative score: 2781
    renin; Length: 5; Length score: 5; Bonus score: 0; Cumulative score: 2786
